scenario	iter	target	outcome
add-exported	3	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
add-exported	3	libHSdemo-graph-0.1.0.0-inplace.a	miss
add-exported	3	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
add-exported	3	libHSdemo-engine-0.1.0.0-inplace.a	miss
add-exported	3	demo-app	miss
modify-type	1	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	1	libHSdemo-core-0.1.0.0-inplace.a	miss
modify-type	1	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
modify-type	1	libHSdemo-codec-0.1.0.0-inplace.a	hit
modify-type	1	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	1	libHSdemo-graph-0.1.0.0-inplace.a	miss
modify-type	1	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	1	libHSdemo-engine-0.1.0.0-inplace.a	miss
modify-type	1	demo-app	miss
modify-type	2	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	2	libHSdemo-core-0.1.0.0-inplace.a	miss
modify-type	2	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
modify-type	2	libHSdemo-codec-0.1.0.0-inplace.a	hit
modify-type	2	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	2	libHSdemo-graph-0.1.0.0-inplace.a	miss
modify-type	2	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	2	libHSdemo-engine-0.1.0.0-inplace.a	miss
modify-type	2	demo-app	miss
modify-type	3	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	3	libHSdemo-core-0.1.0.0-inplace.a	miss
modify-type	3	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
modify-type	3	libHSdemo-codec-0.1.0.0-inplace.a	hit
modify-type	3	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	3	libHSdemo-graph-0.1.0.0-inplace.a	miss
modify-type	3	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	3	libHSdemo-engine-0.1.0.0-inplace.a	miss
modify-type	3	demo-app	miss
refactor-internal	1	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
refactor-internal	1	libHSdemo-core-0.1.0.0-inplace.a	hit
refactor-internal	1	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
refactor-internal	1	libHSdemo-codec-0.1.0.0-inplace.a	hit
refactor-internal	1	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
refactor-internal	1	libHSdemo-graph-0.1.0.0-inplace.a	miss
refactor-internal	1	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
refactor-internal	1	libHSdemo-engine-0.1.0.0-inplace.a	miss
refactor-internal	1	demo-app	miss
refactor-internal	2	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
refactor-internal	2	libHSdemo-core-0.1.0.0-inplace.a	hit
refactor-internal	2	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
refactor-internal	2	libHSdemo-codec-0.1.0.0-inplace.a	hit
refactor-internal	2	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
refactor-internal	2	libHSdemo-graph-0.1.0.0-inplace.a	miss
refactor-internal	2	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
refactor-internal	2	libHSdemo-engine-0.1.0.0-inplace.a	miss
refactor-internal	2	demo-app	miss
refactor-internal	3	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
refactor-internal	3	libHSdemo-core-0.1.0.0-inplace.a	hit
refactor-internal	3	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
refactor-internal	3	libHSdemo-codec-0.1.0.0-inplace.a	hit
refactor-internal	3	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
refactor-internal	3	libHSdemo-graph-0.1.0.0-inplace.a	miss
refactor-internal	3	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
refactor-internal	3	libHSdemo-engine-0.1.0.0-inplace.a	miss
refactor-internal	3	demo-app	miss
